text,label
1,0
Adult Behavior Checklist,0
Aproximadamente quantos(as) amigos(as) próximos(as) ele(a) tem? (Não incluir pessoas da ,1
família),0
(   ) 0 Nenhum,0
(   ) 1 Um,0
(   ) 2 Dois ou três,0
(   ) 4 Quatro ou mais,0
(   ) 99 NÃO SABE,0
"ABCL5b. <q>Aproximadamente, quantas vezes por mês ele(a) tem contato com qualquer um dos amigo(a)",0
"próximo(a)?</q> (Incluir contatos pessoalmente, por telefonemas, cartas, e-mails.)",0
(   ) 0 Menos de um,0
(   ) 1 Um ou dois,0
(   ) 3 Três ou quatro,0
(   ) 5 Cinco ou mais,0
(   ) 99 NÃO SABE,0
ABCL5c. Até que ponto ele(a) se dá bem com amigos(as) próximos?,0
(   ) 0 Não se dá bem,0
(   ) 1 Na média,0
(   ) 2 Acima da média,0
(   ) 3 Bem acima da média,0
(   ) 99 NÃO SABE,0
"Aproximadamente, quantas vezes por mês amigos ou familiares o (a) visitam? ",1
(   ) 0 Menos de um,0
(   ) 1 Um ou dois,0
(   ) 3 Três ou quatro,0
(   ) 5 Cinco ou mais,0
(   ) 99 NÃO SABE,0
Qual o estado civil dele(a)? ,1
(   ) 0 Nunca foi casado,0
(   ) 1 Casado e vivendo com o(a) esposo(a),0
(   ) 2 Casado mas separado,0
(   ) 3 Divorciado(a),0
(   ) 4 Viúvo(a),0
(   ) 5 Outro:___________,0
(   ) 99 NÃO SABE,0
"Em algum momento nos últimos seis meses, ele(a) viveu com um(a) esposo(a) ou companheiro(a)? ",1
(   ) 1 Sim ↓ AB7a,0
(   ) 0 Não à AB8.,0
(   ) 99 NÃO SABE à AB8.,0
2,0
"Agora por favor, circule 0, 1 ou 2 ao lado das afirmações abaixo para descrever o relacionamento",1
dele(a) nos últimos seis meses:,0
O jovem ... Não é,0
verdadeira,0
Um pouco ou,0
algumas vezes,0
verdadeira,0
Muito ou,0
frequentement,0
e verdadeira,0
Se dá bem com o esposo(a) ou companheiro(a) (  ) 0 (  ) 1 (  ) 2 ,1
ABCL7a2. Tem dificuldade em dividir responsabilidades com,0
esposo(a) ou companheiro(a) (  ) 0 (  ) 1 (  ) 2,0
ABCL7a3. <q>Parece satisfeito(a) com esposo(a) ou,0
companheiro(a)</q> (  ) 0 (  ) 1 (  ) 2,0
ABCL7a4. <q>Gosta das mesmas atividades que o esposo(a) ou,0
companheiro(a)</q> (  ) 0 (  ) 1 (  ) 2,0
Discorda do esposo(a) ou companheiro(a) sobre ,1
"questões de administração do lar, como onde morar (  ) 0 (  ) 1 (  ) 2",0
ABCL7a6. <q>Ele(a) tem problemas com a família do esposo(a) ou,0
companheiro(a)</q> (  ) 0 (  ) 1 (  ) 2,0
Gosta dos amigos do esposo(a) ou companheiro(a) (  ) 0 (  ) 1 (  ) 2 ,1
ABCL7a8. <q>Incomoda-se com o comportamento do esposo(a) ou,0
companheiro(a)</q> (  ) 0 (  ) 1 (  ) 2,0
Ele(a) tem alguma doença ou deficiência? ,1
(   ) 1 Sim ↓ AB8a,0
(   ) 0 Não à AB9.,0
(   ) 99 NÃO SABEà AB9.,0
"Se sim, por favor, ",1
descreva:________________________________________________________________ (   ) 99 NÃO SABE,0
"Por favor, descreva quaisquer preocupações que você tenha sobre ele: ",1
:_________________________________________________________________________________________,0
:_________________________________________________________________________________________,0
"Por favor, descreva as principais qualidades e pontos positivos dele(a): ",1
:_________________________________________________________________________________________,0
