text,label
Adult Temperament Questionnaire (ATQ),0
The Adult Temperament Questionnaire (ATQ) was adapted from the,0
Physiological Reactions Questionnaire developed by Derryberry and Rothbart (1988).,0
"Based upon the results from recent studies (Rothbart, Ahadi, & Evans, 2000; Evans &",0
"Rothbart, 2007) we have formulated a self-report model of temperament that includes",0
"general constructs of effortful control, negative affect (which can be further divided into",0
"aggressive and nonaggressive negative affects) extraversion/surgency, orienting",0
"sensitivity, and affiliativeness.",0
References,0
"Derryberry, D. & Rothbart, M.K. (1988).  Arousal, affect, and attention as components of",0
"temperament.  Journal of Personality and Social Psychology, 55, 958-966.",0
"Rothbart, M. K., Ahadi, S. A., & Evans D. E. (2000).  Temperament and personality:",0
"Origins and outcomes.  Journal of Personality and Social Psychology, 78, 122-",0
135.,0
"Evans, D. E., & Rothbart, M. K. (2007).  Development of a model for adult",0
"temperament.  Journal of Research in Personality, 41, 868-888.",0
"Evans, D. E., & Rothbart, M. K. (2008).  Temperamental sensitivity: Two constructs or",0
"one? Personality and Individual Differences, 44, 108-118.",0
"Evans, D. E., & Rothbart, M. K. (2007).  A Two-Factor Model of Temperament.",0
Manuscript submitted.,0
SCORING INSTRUCTION FOR ATQ LONG FORM (249 items),0
UPDATED SEPTEMBER 2007,0
Contact David Evans at David.Evans@Moffitt.org if you have any questions or need,0
additional information.,0
"For reliabilities and norms, etc., please refer to Evans and Rothbart (2007).",0
Scoring Instructions for Evans & Rothbart (2007) ATQ long form,0
"Reversed (R) Items:  After the initial coding of the questionnaire, reversed items",0
"need to be reverse coded (i.e., a response of 1=7, 2=6, 3=5, 4=4, 5=3, 6=2, and 7=1).",0
Items that are reversed are marked with an “R” next to their item number in the listing of,0
items by scale.,0
"Subscales/Subconstructs are listed in bold print.  To score the subscales, add all",0
of the Likert-responses within a given scale together and divide by the number of valid,0
item responses.,0
"General Scales/Constructs are listed in capitalized, underlined print.  To score",0
"general scales for the long form, add the AVERAGE Likert score from each subscale and",0
then divide by the total number of items belonging to that scale.,0
Item clusters are used to further differentiate the content of subscales and are,0
listed in italics.  Not all of the main-scales are divided into item clusters.  If particular,0
"item clusters are of interest, they can be scored in the same manner as the subscales.",0
"However, in most instances, it is likely that the main scales and/or factor scales will be",0
the variables of interest.,0
mailto:David.Evans@Moffitt.org,0
Hierarchical Listing of Constructs and Table of Contents,0
General Scales underlined in bold print,0
Subscales in bold print (not underlined),0
Item Clusters in italics,0
NEGATIVE AFFECT (p. 4)  EFFORTFUL CONTROL  (p. 7),0
Fear   (p. 4)  Inhibitory Control   (p. 7),0
Primary Fear    Activation Control   (p. 7),0
Secondary Fear    Attentional Control   (p. 8),0
Sadness   (p. 4)  Attentional Shifting from Punishment,0
Reactive Sadness    Attentional Shifting from Reward,0
Endogenous Sadness   Attentional Focusing,0
Discomfort  (p. 5)  Attentional Shifting,0
Visual,0
Auditory,0
Tactile,0
Olfactory-Gustatory,0
Frustration  (p. 8),0
Social Anger  (p. 9),0
Aggression Control (p. 9),0
EXTRAVERSION (p. 9)   ORIENTING REACTIVITY (p. 11),0
Sociability  (p. 9)   Neutral Perceptual Sensitivity (p. 11),0
Positive Affect  (p. 9)   Internal,0
Frequency and Duration of Positive Affect  Visual,0
Intensity of Positive Affect    Auditory,0
Threshold for Positive Affect   Tactile,0
High Pleasure  (p. 10)   Olfactory-Gustatory,0
Intense Environmental Pleasure   Affective Perceptual Sensitivity (p. 12),0
Intense Behavioral Pleasure   Aesthetic,0
Novel Behavioral Pleasure   Social,0
Associative Sensitivity  (p. 13),0
AFFILIATIVNESS (p. 14)   Coherent,0
Emotional Empathy (p. 14)   Intrusive,0
Emotional Empathy t to Animals   Activity,0
Emotional Empathy to Positive Affect (humans) Dream States,0
Emotional Empathy to Negative Affect (humans),0
Empathetic Guilt (p. 14),0
Social Closeness  (p. 15),0
Active Closeness,0
Receptive Closeness,0
Relationship Closeness,0
NEGATIVE AFFECT,0
"Fear: Negative affect associated with the anticipation of pain or distress. (Alpha = .76,  N=258",0
undergraduates),0
Primary Fear,0
I  become easily frightened.,1
Looking down at the ground from an extremely high place makes me feel uneasy.,1
"When I am enclosed in small places such as an elevator, I feel uneasy.",1
Loud noises sometimes scare me.,1
It does not frighten me if I think that I am alone and suddenly discover someone close by.,1
"Sometimes, I feel a sense of panic or terror for no apparent reason.",1
Secondary Fear (Worry),0
I often worry about things that turn out to be unimportant.,1
I rarely worry.,1
I am always worried about something.,1
I often think about the possibility of negative outcomes that are not likely to occur.,1
"When I try something new, I am rarely concerned about the possibility of failing.",1
"Sadness:  The amount of lowered mood that is related to object or person loss, disappointment, and",0
exposure to suffering. (Alpha = .80),0
Reactive Sadness:  The amount of lowered mood that results from explicit awareness of information that is,0
extracted from or associated with the immediate environment.,0
I seldom become sad when I watch a sad movie.,1
I seldom become sad when I hear of an unhappy event.,1
I feel sad when saying goodbye to friends or relatives that I know I will not see for a long time.,1
Sometimes minor events cause me to feel intense sadness.,1
"When I hear of an unhappy event, I immediately feel sad.",1
I usually feel weepy while reading the sad part of a story.,1
I rarely feel sad after saying goodbye to friends or relatives.,1
Endogenous Sadness:  The extent to which chronic lowered mood is experienced.,0
I rarely ever feel depressed for more than an hour or two.,1
"On some days, I have felt so depressed that simple activities like talking required a lot of effort.",1
I sometimes feel sad for longer than an hour.,1
"In comparison to other people, I seem to experience longer periods of sadness or",1
depression.,0
Sometimes relatively small disappointments cause me to feel down for several hours.,1
I often feel sad.,1
Sometimes I feel very depressed.,1
"Discomfort: The amount of unpleasant affect resulting from the sensory qualities of stimulation, including",0
"irritation, pain, and discomfort resulting the intensity, rate, complexity of light, movement, sound,",0
"smell/taste, temperature, and texture.  (Alpha = .72)",0
Visual Discomfort,0
I'm often bothered by light that is too bright.,1
Very bright colors sometimes bother me.,1
Colorful flashing lights bother me.,1
Auditory Discomfort,0
I find certain scratchy sounds very irritating.,1
I find loud noises to be very irritating.,1
Loud music is unpleasant to me.,1
Tactile Discomfort,0
Sometimes I find it irritating when something lightly touches my skin unexpectedly.,1
I rarely find it irritating when something touches my skin.,1
"When I wear a tight collar or turtleneck, it makes me uncomfortable.",1
Olfactory-Gustatory Discomfort,0
Foul odors seem to bother me more than other people.,1
There are a lot of different food dishes that I find to taste very unpleasant.,1
I find many aromas/fragrances to be unpleasant.,1
Foul odors don’t bother me very much.,1
Frustration:  The amount of unpleasant affect related to the interruption of ongoing tasks and behavior or,0
to the blocking of a desired goal.  (Alpha = .80),0
I am rarely a patient person.,1
I often get irritated when I'm trying to make an important phone call and get a busy signal.,1
I rarely become annoyed when I have to wait in a slow moving line.,1
I seldom become annoyed when I'm driving somewhere and hit successive red lights.,1
I seldom become irritated when someone is late.,1
I find it very annoying when a store does not stock an item that I wish to buy.,1
It doesn't take very much to make feel frustrated or irritated.,1
I find it quite annoying to have to wait a few minutes for a phone connection.,1
I get very annoyed when poor weather interferes with my plans for an outdoor activity.,1
"When everything seems to be going wrong, I usually work on improving things instead of getting",1
frustrated.,0
"Whenever I have to sit and wait for something (e.g., a waiting room), I become agitated.",1
I am usually a patient person.,1
I usually remain calm without getting frustrated when things are not going smoothly for me.,1
Social Anger:  The amount of affective hostility that is felt toward other people.  (Alpha = .81),0
Sometimes I feel angry at people for no apparent reason.,1
I often become irritated in response to what a person says.,1
I rarely feel angry at people.,1
"When people don't live up to my expectations, I become frustrated and angry with them.",1
I rarely stay angry at someone for a prolonged period of time.,1
I sometimes feel quite jealous of other people’s situations.,1
I rarely become angry at my friends.,1
I rarely feel jealous of other people’s relationships.,1
I sometimes find my friends to be irritating.,1
It doesn’t take much to make me feel angry at someone.,1
Sometimes I feel anger toward people I don’t know very well.,1
"When I interact with a group of people, there is often at least one person who bothers me.",1
Aggression Control:  The level of effectiveness and ease in inhibiting aggressive behavior.  (Alpha = .84),0
It is difficult for me to inhibit the impulse to say angry things that will hurt someone's feelings.,1
I do not have a problem in controlling hostile impulses.,1
"Although I may regret it later, sometimes when I am angry, I throw, tear, or destroy things.",1
I often have a hard time resisting the impulse to be insulting to another person.,1
"If I think of something rude that I want to say, I am usually able to resist the temptation to say it.",1
I have a hard time not becoming verbally hostile or offensive to someone who I believe has treated,1
"me unjustly, even if it might be damaging to my future.",0
"Even if I am extremely angry at someone, I am usually pretty good at dealing with this person in a",1
civil manner.,0
"159. <q>If I am angry because I suspect that I have been treated unfairly, I calm down and try to think",0
things out.</q>,0
"When I am angry, I lose the ability to think things out rationally.",1
"109. <q>If I am angry with a friend, I usually try to talk to my friend and tell him how I feel in a manner",0
that will not evoke a hostile response.</q>,0
"Once I have become angry, my anger seems to feed on itself and become more and more difficult",1
to manage.,0
"If I want to, I can conceal my dislike for a person.",1
I sometimes explode into an angry outburst before I understand what is really happening.,1
It is sometimes hard for me to keep from saying something mean.,1
EFFORTFUL CONTROL,0
Inhibitory Control:  The capacity to suppress positively toned impulses and thereby resist the execution of,0
inappropriate approach tendencies.  (Alpha = .65),0
It is easy for me to hold back my laughter in a situation when laughter wouldn't be,1
appropriate.,0
"When I see an attractive item in a store, it's usually very hard for me to resist buying it.",1
"I can easily resist talking out of turn, even when I'm excited and want to express an idea.",1
"When I'm excited about something, it's usually hard for me to resist jumping right into it.",1
"Even when I feel energized, I can usually sit still without much trouble if it's necessary.",1
I often avoid taking care of responsibilities by indulging in pleasurable activities.,1
"140R. <q>At times, it seems the more I try to restrain a pleasurable impulse (e.g., eating candy), the more",0
likely I am to act on it.</q>,0
It is easy for me to inhibit fun behavior that would be inappropriate.,1
"If I want to, it is usually easy for me to keep a secret.",1
"205. <q>When I decide to quit a habitual behavioral pattern that I believe to be undesirable, I am usually",0
successful.</q>,0
"I often have trouble resisting my cravings for food drink, etc.",1
It is not very hard for me to put aside pleasant activities when I have work to do.,1
