text,label
Questionnaire No.,0
Mother/Daughter Questionnaire,0
GROWING AND CHANGING (4),0
There are important changes to a girl’s body,0
that can happen even as early as 6 or as late as 20.,0
At this time in life we have some questions we need to ask,0
and which we would appreciate hearing about.,0
This questionnaire can be filled in by either mother or daughter.,0
"As always, if you don’t want to answer a question,",0
put a line through it.,0
Your answers will of course be kept in confidence and,0
not attached  to your name,0
If you can only answer some of the questions please send those back,0
THANK YOU VERY MUCH FOR YOUR HELP.,0
15.10.02,0
2,0
"SECTION A:   PERIODS, PROBLEMS AND OTHER DEVELOPMENT",0
What is your daughter’s height (without shoes)?,1
The best way to measure height is to ask your daughter to stand barefoot as straight as,0
"possible against a wall, to make a mark on the wall at the highest point on the child’s",0
head and to measure the distance from the mark on the floor.,0
feet  inches  OR  metres  centimetres,0
What is your daughter’s weight (without shoes)?,1
Please fill in using kilos or stones.,0
stones  pounds  OR  kilos,0
"A3. <q>In the past month, what was the average number of times that your daughter",0
"participated in vigorous physical activity (such as running, dance, gymnastics,",0
"netball, swimming, or aerobics)?</q>",0
none       4-6 times a week,0
less than once a week     daily,0
1-3 times a week,0
Has your daughter started her menstrual periods yet?,1
"Yes   No     If no, please go to A10 on page 4",0
"If yes,",0
How old was your daughter when she had her first period?,1
years old,0
When was her first period?,1
month   year,0
1,0
2,0
4,0
1,0
3,0
2,0
5,0
3,0
"A6. a) <q>In the past year, how many days of bleeding has your daughter usually had",0
during each of her periods?</q>,0
days    don’t know,0
"If you don’t know, is it probably:",1
3 days or less,0
4-6 days,0
7 days or more,0
"A7. <q>In the past year, what was the usual length of your daughter’s menstrual cycle? In",0
"other words, how many days were there from the first day of one period to the first",0
day of the next period?</q>,0
days  don’t know,0
A8. <q>Has your daughter ever had any of the following symptoms associated with,0
her period?</q>,0
a) Heavy or prolonged  bleeding,0
"Yes   No      If no, go to A8b below",0
"If yes,",0
did you contact her doctor for this?,1
Yes   No,0
b) Severe cramps with her period?,0
Yes   No,0
"If yes,",0
did you contact her doctor for this?,1
Yes   No,0
1,0
3,0
2,0
1,0
1,0
1,0
1,0
2,0
2,0
2,0
2,0
99,0
99,0
4,0
A8. c) <q>Period-type pains or pain in her pelvic area (lower part of her tummy) for most,0
days of the month even when she is not bleeding?</q>,0
Yes   No,0
"If yes,",0
Did you contact her doctor for this?,1
Yes   No,0
"Sometimes, if girls have problems with their periods e.g. heavy bleeding, irregular bleeding",0
"or cramps, their GP may prescribe the oral contraceptive pill (which can be called",0
‘hormone’ or ‘oestrogen pills’) to help.,0
"A9. <q>Has your daughter taken oral contraceptives or birth control pills, for any",0
reason during the past 12 months?</q>,0
Yes   No,0
A10. a) <q>Has a doctor ever told your daughter that she had a thyroid problem or asked,0
