text,label
Questionnaire No:,0
We’d really like to know the answers to these; you may have to ask,0
someone for a bit of help with some of them!,0
You’re going to need a mirror to help you as well.,0
"OK - now you’ve got that, here we go!",0
TEETH  AND  THINGS,0
3.12.01,0
2,0
Section A:  Looking at your teeth,0
Please look in the mirror,0
A1.a) On the picture below draw an X on any teeth where you,0
have a gap.,0
AND,0
b) Please draw any white or brown marks showing on your,0
teeth. If you have a glued-on brace (train tracks) please,0
draw this too.,0
How many teeth do you have in your mouth all together?,1
A3. <q>How many fillings are there in your mouth? (don’t forget the,0
front teeth!).</q>,0
"(If none, write 00 in the boxes)",0
How many of these are silver fillings?,1
"(If none, write 00 in the boxes)",0
3,0
How many of these are white fillings?,1
"(If none, write 00 in the boxes)",0
A6. Looking in the mirror and feeling with your tongue:,0
How many teeth can you see or feel which have a hole in them?,1
"(If none, write 00 in the boxes)",0
How many times a day do you usually clean your teeth?,1
Twice or      Once,0
more a day    a day,0
Not at all     Never clean,0
some days     my teeth,0
Do you use an electric toothbrush?,1
What tooth-paste do you use?  Write the whole name:,1
.................................................................................................,0
1,0
2,0
1,0
2,0
3,0
4,0
4,0
Section B:  Pictures of different boys (girls' pictures are different),0
B1. Here are pictures of 5 boys. Please put a tick in the box under the,0
drawing that is most like you:,0
a),0
b)  Now tick the box that you would most like to be. This can be the same,0
one as in your answer above.,0
B2. Here are some more pictures of boys. They are all the same age as,0
you. Please put a tick in the box under the drawing that you think is,0
most like you:,0
a),0
"b)  Now tick the box that you would most like to be. Again, this can be the",0
same one as you ticked in your answer to part a).,0
1,0
2,0
3,0
4,0
5,0
1,0
2,0
3,0
4,0
5,0
1,0
2,0
3,0
4,0
5,0
1,0
2,0
3,0
4,0
5,0
5,0
Section C: About the look of your teeth,0
Do you like the way your teeth look now?,1
Yes   No,0
"If Yes, go to C4 on page 6",0
If No,0
C2.  <q>What don't you like about them? (You can tick more than one,0
box)</q>,0
My teeth are:,0
a)  too white   g)  my top teeth stick out,0
b)  too brown   h)  my bottom teeth stick out,0
c)  blotchy    i)  my teeth are gappy,0
d)  too small   j)  my teeth are crooked,0
e)  too big    k)  I don’t like my brace,0
f)  pointy,0
l)  Something else (please say what),0
.........................................................................................,0
.........................................................................................,0
"If you don’t like your teeth, do you worry about them?",1
Tick one box only please,0
"Yes, all of the time  Yes, sometimes       No, not at all",0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
3,0
1,0
1,0
1,0
6,0
Do other people ever make fun of your teeth?,1
Often   Sometimes    Never,0
Do you think braces look cool on other people’s teeth?,1
Yes     No,0
Have any of your friends got a brace?,1
Yes     No,0
Have you got a brace?,1
"Yes     No       If no, go to C9 below",0
How are you getting on with your brace?,1
I like it   Its OK   I hate it,0
"C9. <q>If you haven't got a brace at the moment, would you like a",0
brace?</q> (Tick one box only),0
Yes,0
"Maybe, when I'm older",0
Never,0
Not sure,0
I’ve already had a brace,0
1,0
2,0
3,0
1,0
2,0
1,0
2,0
1,0
2,0
3,0
4,0
5,0
1,0
2,0
3,0
2,0
1,0
"In the next section, don’t worry if you",0
"can’t answer a question, just leave it",0
out and go on to the next one.,0
7,0
Section D:  All about dentists,0
Have you ever been to a dentist?,1
"Yes   No        If no, go to F1 on page 11",0
How old were you when you first went to visit a dentist?,1
"(If you are not sure, ask someone)",0
years old,0
Why did you first go to the dentist?,1
"(If you are not sure, ask someone)",0
Tick 1 box,0
because I had toothache,0
for a check-up,0
with a grown-up when they went,0
for another reason,0
don’t know,0
Do you now go to the dentist?,1
Tick 1 box,0
regularly (for check-ups),0
only when I have tooth-ache,0
or some other problem,0
"not ever, really",0
don’t know,0
1,0
2,0
1,0
2,0
3,0
4,0
5,0
1,0
2,0
3,0
4,0
8,0
How often do you go to the dentist?,1
every 4 months,0
every 6 months,0
once a year,0
don’t go regularly,0
don’t know,0
When was the last time you went to the dentist?,1
During the last 6 months,0
Between 6 months and a year ago,0
More than a year ago,0
Can’t remember,0
Is your dentist a woman or a man?,1
D8. Here is a space for you to write some things which you like,0
about going to see your dentist.,0
.............................................................................................,0
.............................................................................................,0
D9. And here is a space for you to write some things you do not like,0
about going to your dentist.,0
.............................................................................................,0
.............................................................................................,0
4,0
1,0
2,0
3,0
1,0
2,0
5,0
1,0
2,0
3,0
4,0
9,0
Section E:  All  about  your  teeth,0
Have you ever had a filling?,1
"Yes   No          If no, go to E4 below",0
Space for you to write any nice things about having that done:,1
............................................................................................,0
............................................................................................,0
Please write any not so nice things about having that done:,1
.......................................................................................…..,0
.......................................................................................…..,0
E4. a) Have you ever been given something to make your mouth go,0
"numb (sleepy, frozen, dead)?",0
"Yes   No   If no, go to E5 below",0
How did you feel about that?,1
I liked it   I hated it       I wasn’t sure,0
What did you have done to your teeth at that time?,1
a filling    a tooth pulled out,0
something else       (please say what)  ...……………….,0
................................................................................……..,0
E5. a) <q>Have you ever been given something to make you go to,0
sleep (general anaesthetic) before the dentist did,0
something to your teeth?</q>,0
"Yes   No       If no, go to E6 on page 10",0
2,0
2,0
2,0
2,0
1,0
1,0
1,0
1,0
3,0
3,0
1,0
2,0
10,0
E5. If yes,0
b) How old were you the last time this happened?,0
years old,0
How did you feel about it?,1
I liked it     I hated it       I wasn’t sure,0
What did you have done to your teeth at that time?,1
tooth pulled out    something else,0
(please say what),0
.........................................................................................,0
E6. a) <q>Have you ever had a magic wind mixture that you breathe,0
through a special nose-piece which makes you feel brave but,0
lets you stay awake (sedation)?</q>,0
"Yes       No     If no, go to F1 on page 11",0
b) <q>How old were you the last time you had the “magic wind”,0
mixture?</q>,0
years old,0
How did you feel about it?,1
I liked it     I hated it   I wasn’t sure,0
What did you have done to your teeth at that time?,1
tooth pulled out    a filling,0
something else     (please say what)  ……………………..,0
............................................................................................,0
2,0
3,0
1,0
1,0
2,0
3,0
1,0
2,0
2,0
2,0
1,0
1,0
3,0
11,0
Section F:  Accidents to your teeth,0
Can you remember..:,0
F1. a) <q>Have you ever banged any of your grown-up top front,0
teeth?</q>,0
"Yes   No      If no, go to Section G on page 13",0
If yes,0
How old were you?,1
How many teeth did you bang?,1
Because of the bang:,0
Did you chip any teeth?,1
If yes,0
How many did you chip?,1
Did any teeth come loose because of the bang?,1
Yes               No,0
Did you knock any teeth out?,1
"Yes   No  If no, go to F5 on page 12",0
"If yes,",0
How many did you knock out?,1
Were any teeth put back in after they were knocked out?,1
Yes   No,0
2,0
2,0
2,0
2,0
1,0
1,0
1,0
1,0
1,0
2,0
12,0
Did any of the teeth you banged change colour after the bang?,1
Yes    No,0
Did you get a gum-boil on any tooth (or teeth) after the bang?,1
Yes    No,0
Have you had any of the banged tooth (teeth) taken out?,1
Yes    No,0
"If yes,",0
How many were taken out?,1
2,0
2,0
2,0
1,0
1,0
1,0
Did you know? Children of the 90s families,0
have sent us back about half a million,0
questionnaires!!,0
Our computers are really busy!,0
13,0
Section G:  All about drinks,0
When do you drink these different kinds of drink?,1
(i),0
I don’t  I only    I drink it at I drink it Tick this,0
drink it drink it   mealtimes  at any  if you,0
on special   only   time of often drink,0
occasions    day  it at,0
bedtime,0
a)  Cola (any type),0
b)  Other fizzy fruit,0
drinks including,0
flavoured fizzy,0
"water, or lemonade",0
c)  Plain water,0
d)  Plain fizzy water,0
e)  Pure fruit juices,0
from a carton or,0
freshly squeezed,0
f)  Sweetened fruit,0
"drinks, for example",0
"Sunny Delight, Orange C",0
g)  Drinks with water,0
"added, for example",0
"Ribena, orange squash etc.",0
h)  Ribena Toothkind,0
i)  Flavoured milk,0
"drinks, for example",0
"Horlicks, Ovaltine, milkshakes",0
1,0
2,0
3,0
4,0
1,0
1,0
2,0
3,0
4,0
1,0
1,0
2,0
3,0
4,0
1,0
1,0
2,0
3,0
4,0
1,0
1,0
2,0
3,0
4,0
1,0
1,0
2,0
3,0
4,0
1,0
1,0
2,0
3,0
4,0
1,0
1,0
2,0
3,0
4,0
1,0
1,0
2,0
3,0
4,0
1,0
Nearly finished this one!  Now turn over for just a few more drinks,0
14,0
G1.                 (i),0
I don’t  I only    I drink it at I drink it Tick this,0
drink it drink it   mealtimes  at any  if you,0
on special   only   time of often drink,0
occasions    day  it at,0
bedtime,0
j)  Plain milk,0
k)  Tea,0
l)  Coffee,0
m)  Others,0
(Please tick and,0
say what they are),0
…………………………………………………………………………………………………………………..,0
Do you add sugar to any of your drinks?,1
Yes    No,0
"If yes,",0
Which drinks?,1
How do you drink these different kinds of drink?,1
I drink  I sip it   I froth and  I usually Don’t,0
it all in  a little   swish it  use a   have,0
one go at a time   around my straw     it,0
mouth for,0
Drink          a while,0
a)  Cola (any type),0
b)  Other fizzy fruit,0
drinks including,0
flavoured fizzy,0
"water, or lemonade",0
1,0
2,0
3,0
4,0
1,0
1,0
2,0
3,0
4,0
1,0
2,0
1,0
1,0
2,0
3,0
4,0
5,0
1,0
2,0
3,0
4,0
1,0
2,0
3,0
4,0
1,0
1,0
2,0
3,0
4,0
1,0
5,0
15,0
I drink  I sip it   I froth and  I usually Don’t,0
it all in  a little   swish it  use a   have,0
one go at a time   around my straw     it,0
