text,label
VERSION 1    14 June 2012,0
MEDICAL RESEARCH COUNCIL,0
SERIAL NO:,0
Health & Employment After,0
Fifty (HEAF Study):,0
Follow-up Questionnaire,0
The answers given on this form are confidential.,0
Replies will only been seen by a small medical research team,0
Page | 1,0
Section One: About Yourself and Your Work,0
Please fill in today’s date,1
Day  Month  Year,0
Please fill in your date of birth,1
Day  Month  Year,0
What is your current marital status? (Tick one box),1
a) Married   b) Single   c) Civil partnership,0
d) Widowed    e) Divorced   f) Living with a partner,0
Which of the following best describes your present work situation? (Tick one box),1
a) Employed   b) Self-employed,0
c) Unemployed   d) Retired,0
Has your employment position changed since we last contacted you about a year ago?,1
(Please tick the box that best applies to you).,0
"I did not have a paid job when you last contacted me, and I do not have a paid job now",0
"(Please go to Section 2 on page 8, starting at Question 45)",0
I have the same main job as when you last contacted me,0
(Please go to Question 40 on page 7),0
My employment position has changed since you last contacted me.,0
(Please continue with Question 5),0
The following questions are only for those whose employment position has changed since,0
we last contacted them.,0
"5. In the time since we last contacted you, have you left the main job you were doing at that",0
time?,0
"No, I did not have a job when lasted contacted.",0
(Please go to Question 9 on page 2),0
Yes,0
(Please continue with Question 6),0
When did you leave the job?,1
Month  Year,0
Page | 2,0
Section One: About Yourself and Your Work,0
Did you leave because of a health problem? (Tick one box),1
"a) No, not at all",0
"b) Yes, a health problem was the main reason for leaving",0
"c) Yes, a health problem was part of the reason for leaving",0
what type of problem was it? (Tick all the boxes that apply),1
"a) A problem with your back, neck, arm,",0
shoulder or leg,0
b) A mental health problem or stress,0
c) A problem with your heart or lungs    d) Another type of health problem,0
"e) Not applicable, no health problem",0
Do you currently have a paid job?,1
a) No   (Please go to Section 2 on page 8 starting at Question 45),0
b) Yes  (Please continue with Question 10),0
10. What is your MAIN occupation at the moment?,0
"a) Occupation (e.g. secretary, teacher, builder)",0
and in what industry do you work?,0
"b) Industry (e.g. farming, shipyard, car factory,",0
"shoe shop, hospital, insurance office)",0
When did you start this job?,1
Month  Year,0
Is your contract of employment permanent or temporary/renewable?,1
a) Permanent   b) Temporary/renewable   c) Not applicable,0
(self-employed),0
Page | 3,0
Section One: About Yourself and Your Work,0
Roughly how many people in total work for your employer?,1
"(If self-employed, please indicate the number of people in total you employ)",0
a) Just you   b)  2 – 9   c) 10 – 29,0
d)  30 – 499    e) 500 or more,0
Does your main job involve rotating or variable shifts?,1
a) Often   b) Sometimes   c) Rarely/never,0
Does your main job involve night work (i.e. between 2.00 a.m. and 4.00 a.m.)?,1
a) Often   b) Sometimes   c) Rarely/never,0
"In your main job, does an average day at work involve any of the following activities?",1
(Please tick yes or no for each activity),0
Yes   No,0
a) Kneeling or squatting for longer than 1 hour per day in total,0
b) Climbing a ladder,0
c) Climbing up and down more than 30 flights of stairs per day,0
d) Digging or shovelling,0
e) Lifting weights of 10 kg (25 lbs) or more by hand,0
f) Standing or walking for most of the day,0
g) Standing or walking for more than 3 hours at a time,0
h) Hard physical work that makes you hot or sweaty,0
Is driving part of your main job?,1
(Tick one box.  NB This does not include travel to or from your main place of work ),0
"a) Essential to the job   b) A part of the job,",0
but not essential,0
c)    No,0
Page | 4,0
Section One: About Yourself and Your Work,0
"18. <q>Ignoring overtime, does your main job give you a fixed salary, or are you paid according to",0
your output (e.g. the number of tasks you do or things you make)?</q> (Tick one box),0
a) Fixed salary   b) Paid by output,0
"19. <q>In your main job, do you have a choice in deciding what you do, how you do things, or when",0
you do things?</q> (Tick one box),0
a) Often   b) Sometimes   c) Rarely/never,0
Do you have a fixed time when you have to begin work? (Tick one box),1
a) All work days   b) Most work days   c) Some work days,0
d) Never (I choose for myself),0
How much holiday are you allowed from your job per year (including Bank Holidays)?,1
"(Answer a, or b)",0
a)     Days       or b)   No fixed limit (Please tick),0
How much holiday do you take each year in your job (including Bank Holidays)?,1
days,0
"23. <q>When you have difficulties at work, how often do you get help and support from your",0
"colleagues, supervisor or manager?</q> (Tick one box)",0
a) Often   b) Sometimes   c) Rarely/never,0
d) Not applicable,0
(work alone),0
Do you ever lie awake at night worrying about work or angry about work? (Tick one box),1
a) Often   b) Sometimes   c) Rarely/never,0
"How satisfied are you with the amount you are paid in your job, all things considered?",1
(Tick one box),0
a) Very satisfied   b) Satisfied/fairly satisfied,0
c) Dissatisfied   d) Very dissatisfied,0
Page | 5,0
Section One: About Yourself and Your Work,0
26. <q>How satisfied are you with your working hours and your work timetable (e.g. start and finish,0
"time), all things considered?</q> (Tick one box)",0
a) Very satisfied   b) Satisfied/fairly satisfied,0
c) Dissatisfied   d) Very dissatisfied,0
Does your work give you a feeling of achievement? (Tick one box),1
a) Often   b) Sometimes   c) Rarely/never,0
"In your work, do you feel appreciated by others (managers, colleagues, customers etc)?",1
(Tick one box),0
a) Often   b) Sometimes   c) Rarely/never,0
Do you have friends at work with whom you also spend time outside work? (Tick one box),1
a) Yes   b) No,0
Is there anyone at work you find very difficult to get on with? (Tick one box),1
a) Yes   b) No,0
Do you ever get criticised unfairly at work? (Tick one box),1
a) Often   b) Sometimes   c) Rarely/never,0
"How satisfied have you been with your job as a whole, taking everything into consideration?",1
(Tick one box),0
a) Very satisfied   b) Satisfied/fairly satisfied,0
c) Dissatisfied   d) Very dissatisfied,0
"Provided that you stay well, how secure do you feel your job is?",1
(Tick one box),0
a) Very secure   b) Secure,0
c) Rather insecure   d) Very insecure,0
Page | 6,0
Section One: About Yourself and Your Work,0
34. <q>How secure do you feel your job would be if you had an illness that kept you off work for,0
three months or more?</q> (Tick one box),0
a) Very secure   b) Secure,0
c) Rather insecure   d) Very insecure,0
"35. <q>If you fell ill and were off work, how long could you get your normal full pay (excluding",0
bonuses)?</q> (Tick one box),0
a) Less than one week   b) 1 to 4 weeks   c) 1 to 6 months,0
d) More than 6 months   e) Not sure,0
"36. <q>If you had a long-term health problem, might you qualify for an ill-health retirement pension",0
(from your employer or insurance)?</q> (Tick one box),0
a) Yes   b) No   c) Don’t know,0
"Currently, how well do you cope with the physical demands of your job?",1
a) Easily   b) Just about   c) With some difficulty,0
d) With great difficulty   e) Not coping,0
"Currently, how well do you cope with the mental demands of your job? (Tick one box)",1
a) Easily   b) Just about   c) With some difficulty,0
d) With great difficulty   e) Not coping,0
39. <q>Do you expect that you will still be able (physically and mentally) to carry out the same kind of,0
work in two years time?</q> (Tick one box),0
a) Yes   b) No   c) Not sure,0
Page | 7,0
Section One: About Yourself and Your Work,0
